t,r,r_hold,vel_r_measured,v_r,v_theta,vel_theta,v_z,vel_z
28.642419985000743,8.446914502380823,8.559108949196677,0.7786391801271427,-0.6999996443570116,-1.5,-1.6850387927055033,0.0,0.00036104946047998965
28.704891892997694,8.407075099491367,8.515446918633648,0.7654649242060391,-0.6999997302875265,-1.5,-1.6858392560163522,0.0,0.0004063327796757221
28.735961058999237,8.36805000971008,8.493626665937876,0.7524983878600944,-0.6999997947354126,-1.5,-1.6866883996724902,0.0,0.0006898177089169621
28.797557029000018,8.329622698516241,8.450531229966243,0.739292562415773,-0.6999998430713272,-1.5,-1.6874728085212136,0.0,0.0006375155644491315
28.86129871599769,8.291422442117595,8.405831115792758,0.7273613646135848,-0.6999998793232631,-1.5,-1.6881735163319573,0.0,0.000630294147413224
28.891531811001187,8.253952576433125,8.384687443766115,0.7163770070452017,-0.6999999065122151,-1.5,-1.68880891413138,0.0,0.000732865184545517
28.953589434000605,8.217221393392263,8.34124903754311,0.705604825261944,-0.6999999269039291,-1.5,-1.689417844346442,0.0,0.0009583482751622796
28.986695407998923,8.181158015699728,8.318071773336055,0.6930777427216995,-0.6999999421977146,-1.5,-1.6899417708031814,0.0,0.0009430547943338752
29.04680718199961,8.14549315403225,8.276035266604532,0.6803834185541516,-0.6999999536680537,-1.5,-1.6903412526686037,0.0,0.0010884389048442245
29.078279802997713,8.110559948986653,8.253941804851314,0.6689962350209924,-0.699999962270808,-1.5,-1.690670079306188,0.0,0.0010799954179674387
29.14101796599789,8.076296063611464,8.210090335863402,0.6580012844507438,-0.6999999687228737,-1.5,-1.6908705189931976,0.0,0.0011967156315222383
29.20266170800096,8.042528295321874,8.166950331427374,0.6475891864467308,-0.6999999735619231,-1.5,-1.6910158541259424,0.0,0.001141251064836979
29.264038908000657,8.00895150698679,8.123953354068622,0.6374856817577627,-0.6999999771912101,-1.5,-1.6910118941372472,0.0,0.0011900733225047588
29.296030097000767,7.97660920039535,8.101545966024478,0.6279455933989785,-0.6999999799131753,-1.5,-1.6908703556177394,0.0,0.0011823453241959214
29.358898735998082,7.944462024235329,8.057532109317624,0.6162912446943928,-0.6999999819546492,-1.5,-1.6908177962950603,0.0,0.0012857099063694477
29.39020630899904,7.912898941847661,8.035685314750936,0.6045301476514312,-0.6999999834857547,-1.5,-1.6905654286981813,0.0,0.001255893032066524
29.45403479200104,7.881613725723158,7.990943971281162,0.5939296227487857,-0.6999999846340837,-1.5,-1.6902540336683782,0.0,0.001245148479938507
29.51660405900111,7.850874899355905,7.947135893423038,0.5855450910788509,-0.6999999854953306,-1.5,-1.6900581419259872,0.0,0.0010449979454278946
29.549529604999407,7.820587730983369,7.9240841312985495,0.5781205616888203,-0.6999999861412657,-1.5,-1.689833701443173,0.0,0.000913119874894619
29.609866953000164,7.790562695354517,7.881961672691725,0.5722457748829284,-0.699999986625717,-1.5,-1.6896315644453739,0.0,0.0007543702959083021
29.64161645999775,7.760565731260777,7.859644907321311,0.5657372783809231,-0.6999999869890555,-1.5,-1.6893921797693254,0.0,0.0007608867017552257
29.702600286000234,7.730375296847832,7.817001408722938,0.5586910459173517,-0.6999999872615594,-1.5,-1.6892637498724794,0.0,0.0006970798713155091
29.764895652999257,7.701262956436786,7.773346538517675,0.5536133120315716,-0.6999999874659373,-1.5,-1.6889073608001168,0.0,0.0005465775029733777
29.796144203999575,7.672223675378155,7.751469703081548,0.5488806847009328,-0.6999999876192207,-1.5,-1.6886331700899206,0.0,0.00031147198751568794
29.857166541998595,7.643278342456171,7.708779975092705,0.5453661408859601,-0.6999999877341833,-1.5,-1.6885050567252333,0.0,0.00032202008878812194
29.88914735399885,7.613346016482399,7.686387607165669,0.5398439471844267,-0.6999999878204052,-1.5,-1.6886072929079836,0.0,0.00027087144553661346
